traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
1493.0,None,287.15,0.0,0.0,90.0,Mist,,18-09-2017 22:00
,None,282.25,0.0,0.0,90.0,Clouds,overcast clouds,23-05-2013 11:00
,None,,0.0,0.0,90.0,Drizzle,drizzle,04-06-2016 01:00
5626.0,None,252.08,0.0,0.0,20.0,Haze,haze,04-01-2017 08:00
5357.0,None,291.25,1.02,0.0,,Rain,moderate rain,13-06-2013 13:00
2827.0,None,272.79,0.0,0.0,90.0,,snow,03-11-2017 20:00
,None,292.61,0.0,0.0,8.0,Clear,sky is clear,08-06-2016 23:00
4513.0,None,270.84,0.0,0.0,75.0,Clouds,broken clouds,01-03-2017 10:00
3415.0,None,297.97,0.0,0.0,40.0,Clouds,scattered clouds,03-07-2016 13:00
1883.0,None,272.55,0.0,0.0,1.0,Fog,fog,26-11-2016 08:00
477.0,None,,0.0,0.0,64.0,Clouds,broken clouds,17-07-2016 05:00
6651.0,None,300.15,0.0,0.0,75.0,Clouds,broken clouds,06-08-2018 16:00
5367.0,,277.21,0.0,0.0,5.0,Clear,sky is clear,26-02-2016 18:00
487.0,,286.04,0.0,0.0,1.0,Rain,light rain,21-10-2015 00:00
2931.0,None,291.3,0.0,0.0,1.0,,sky is clear,02-07-2018 05:00
,None,250.63,0.0,0.0,1.0,Clear,sky is clear,13-01-2018 22:00
,None,291.35,0.0,0.0,,Clouds,overcast clouds,21-10-2017 14:00
4607.0,None,273.81,0.0,0.0,90.0,Drizzle,light intensity drizzle,22-11-2016 09:00
1266.0,None,289.83,1.14,0.0,100.0,Rain,moderate rain,04-10-2016 22:00
617.0,None,293.93,0.0,0.0,,Rain,moderate rain,19-08-2016 01:00
2963.0,None,286.09,0.0,,1.0,Clear,sky is clear,21-04-2014 20:00
2830.0,None,,0.0,0.0,,Clouds,,26-09-2016 05:00
,,255.38,0.0,0.0,64.0,Clouds,,23-12-2013 11:00
2694.0,,294.78,,0.0,1.0,Clear,sky is clear,02-08-2015 21:00
2922.0,,290.93,,0.0,1.0,Clear,sky is clear,05-05-2018 21:00
,,,0.0,0.0,8.0,Clear,sky is clear,16-10-2016 11:00
4747.0,None,,0.0,0.0,90.0,Clouds,overcast clouds,02-03-2013 11:00
4366.0,,284.05,0.0,0.0,12.0,Clouds,few clouds,23-04-2016 09:00
310.0,None,292.22,0.0,0.0,1.0,Clear,,
321.0,None,272.15,0.0,,90.0,Clouds,overcast clouds,22-02-2016 01:00
,,283.23,0.0,0.0,0.0,Clear,Sky is Clear,30-09-2016 05:00
3180.0,None,293.27,0.0,0.0,75.0,Clouds,broken clouds,25-08-2016 19:00
4638.0,None,275.34,0.0,,1.0,Clear,sky is clear,11-10-2012 10:00
1684.0,None,256.21,,,0.0,Clear,sky is clear,31-01-2014 23:00
2032.0,,290.37,0.0,0.0,0.0,Clear,Sky is Clear,23-05-2014 23:00
827.0,,287.65,0.0,0.0,75.0,Clouds,broken clouds,
399.0,None,265.62,0.0,0.0,90.0,Mist,mist,29-12-2012 04:00
1103.0,None,287.36,0.0,,90.0,Clouds,overcast clouds,03-06-2018 06:00
3551.0,None,,0.0,0.0,90.0,Clouds,overcast clouds,02-03-2018 20:00
,None,290.73,0.0,0.0,40.0,Clouds,scattered clouds,16-05-2016 15:00
4219.0,None,274.15,0.0,0.0,90.0,Drizzle,drizzle,23-11-2016 08:00
4701.0,None,271.43,,0.0,5.0,Clear,sky is clear,07-11-2017 11:00
,,275.39,0.0,0.0,90.0,Mist,mist,
3003.0,None,253.14,0.0,0.0,90.0,Clouds,overcast clouds,01-03-2014 08:00
711.0,None,,0.0,0.0,1.0,Clear,sky is clear,31-12-2017 01:00
3177.0,None,296.56,0.0,0.0,1.0,Clear,,17-08-2018 21:00
3727.0,None,276.17,0.0,0.0,64.0,Clouds,broken clouds,09-11-2013 18:00
2539.0,None,276.29,0.0,0.0,75.0,Drizzle,light intensity drizzle,01-04-2016 05:00
3009.0,None,276.61,0.0,0.0,75.0,Clouds,broken clouds,05-12-2015 08:00
